,name,designation,latitude,longitude,values,date
91,Aachen,NW,50.775822525240635,6.083624260019149,0.0,0
92,Schloss Belvedere,TH,50.94854616110009,11.348994014287044,0.0,20250421
93,Bastei,,50.962561557110924,14.072883319941814,0.0,20210918
94,Schloss Augustusburg,,50.81350307166248,13.099152515703969,0.0,0
95,Bonn,NW,50.738094461570384,7.09252727880291,0.0,20211114
96,Marburger Schloss,,50.81055324337825,8.76705936418577,0.0,20230725
97,Schloss Drachenburg,NW,50.66892427361409,7.2063212958884195,0.0,20211114
98,Schloss Altenstein,TH,50.835355782730005,10.349297985428755,0.0,20250419
99,Burg Gleichen,TH,50.88086250659096,10.838912372697717,0.0,0
100,Wasserschloss Klaffenbach,,50.769087728288575,12.888659572638224,0.0,0
101,Festung Königstein,,50.919225456113985,14.057294449404774,0.0,0
102,Monschau,NW,50.55290732750128,6.238849629750997,0.0,0
103,Nationalpark Eifel,NW,50.58246812046234,6.423318636429082,0.0,0
104,Schloss Rauischholzhausen,,50.7567329445954,8.881478246390817,0.0,20230724
105,Leuchtenburg,TH,50.80431783282816,11.611766630668965,0.0,20250420
106,Schloss Kuckuckstein,,50.86357944783332,13.858224628838363,0.0,0
107,Andernach Geyser,,50.44135750140028,7.402794599353007,0.0,0
108,Schloss Braunfels,,50.513844943291396,8.387492400308265,0.0,0
109,Schloss Heidecksburg,TH,50.72315261688713,11.337644277092807,0.0,20250420
110,Schloss Weilburg,,50.48586276973468,8.261314631135706,0.0,0
111,Fuldaer Stadtschloss,,50.554098690690005,9.675823689679499,0.0,20250323
112,Festung Ehrenbreitstein,,50.36365103946842,7.6131567000445,0.0,0
113,Römerkastell Saalburg,,50.27195054283466,8.566571359773265,0.0,20230724
114,Limberg an der Lahn,,50.398754661060664,8.079447387180725,0.0,0
115,Kristallhöhle,,50.468565707314845,8.302238500226913,0.0,0
116,Schloss Stolzenfels,,50.30366138462781,7.592113014308622,0.0,0
117,Kloster Eberbach,,50.04420804773813,8.04606906172646,0.0,0
118,Schloss Ehrenburg,,50.258228444997506,10.967181414792284,0.0,20230814
117,Burg Eltz,,50.205537114836694,7.336536542793312,0.0,20231007
120,Burg Katz,,50.15231134901581,7.7239873477997305,0.0,0
121,Niederwalddenkmal,,49.98128729092111,7.899869803764777,0.0,0
122,Reichsburg Cochem,,50.14240004074348,7.167016880720029,0.0,20231006
123,Schinderhanneshöhle,,49.855266137078,7.571088993487281,0.0,20231011
124,Burg Frankenstein,,49.43896610425847,7.975007427287317,0.0,0
125,Schloss Johannisburg,,49.97654388550758,9.141493905171085,0.0,0
126,Trier,,49.751480731767884,6.6361548041176786,0.0,20231006
127,Altes Schloss Eremitage,,49.949653317756244,11.624898143420832,0.0,20230817
128,Bamberg,,49.899897625630885,10.90020478584281,0.0,20230814
129,Burg Lichtenburg,,49.55646358113249,7.3565487731113945,0.0,0
130,Scloss Auerbach,,49.709050487238095,8.632012005321755,0.0,0
131,Burg Wertheim,,49.759218858216514,9.519591951762237,0.0,0
132,Burg Montclair,,49.49622810395126,6.557356444638645,0.0,20231010
133,Kloster Lorsch,,49.6539514943417,8.569671531852826,0.0,0
134,Würzburger Residenz,,49.793130116645564,9.939131470588253,0.0,20230816
135,Schlossberghöhlen,,49.32083413879066,7.343338287486094,0.0,20231009
136,Schloss Heidelberg,,49.4171154543863,8.713979992773247,0.0,20220725
137,Rothenburg,,49.3804907319762,10.183626292953273,0.0,0
138,Hambacher Schloss,,49.32527367950907,8.118011238334773,0.0,0
139,Speyerer Dom,,49.31760316165258,8.442316741289234,0.0,0
140,Schloss Schwetzingen,,49.38442668274046,8.570529846967071,0.0,20220725
140,Amberg,,49.441052170883204,11.863005583075532,0.0,20230817
142,Reichsburg Trifels,,49.19682982369771,7.978429042508556,0.0,0
143,Burg Berwartstein,,49.10862182041791,7.862755601097686,0.0,0
144,Kloster Maulbronn,,49.00128407925189,8.812073492820568,0.0,0
145,Residenzschloss Ludwigsburg,,48.89951209278837,9.195990491687763,0.0,20241008
146,Rastatt,,48.85840169040843,8.208265827772074,0.0,20241004
147,Weißenburg,,49.03514038869194,10.967997604628842,0.0,20230815
148,Regensburg,,49.014015275813605,12.100731089404505,0.0,0
149,Burg Prunn,,48.9506227418586,11.739736884549115,0.0,0
150,Baden-Baden,,48.763676972080205,8.22693167924931,0.0,20241005
151,Kloster Weltenburg,,48.899490815862,11.820029260704635,0.0,0
152,Neuburg an der Donau,,48.73068171271573,11.188808244987028,0.0,20230812
153,Schloss Lichtenstein,,48.4067235933747,9.257994663104895,0.0,0
154,Ulm,,48.39927237879504,9.986521021536161,0.0,0
155,Landshut,,48.543821236775095,12.146514398423397,0.0,0
156,Burg Hohenzollern,,48.3238762836519,8.967236353845957,0.0,0
157,Passau,,48.56301740538593,13.426540076058192,0.0,0
158,Triberg im Schwarzwald,,48.13024030178374,8.23242327426382,0.0,20220720
159,Dachau Konzentrationslager,,48.26724924609495,11.4664324596458,0.0,20230811
160,Schloss Sigmaringen,,48.08817674519821,9.216523543196745,0.0,20241007
161,Augsburg,,48.368670722634796,10.897588150265582,0.0,20230812
162,Freiburger Münster,,47.99592608547485,7.852748923349447,0.0,20220719
163,Burghausen,,48.17236410102756,12.830386734372217,0.0,0
164,Schloss Herrenchiemsee,,47.860952245051074,12.402712754100424,0.0,0
165,Schloss Zeil,,47.86630402241509,9.994415300555588,0.0,0
