submap,latitude,longitude,date,name
BE,52.51631274381771,13.37770194600639,20210925,Brandenburger Tor
NI,52.439552444065335,10.79925201496817,20230907,Schloss Wolfsburg
BB,52.41334137501645,12.529453695155016,20230905,Brandenburg an der Havel
BB,52.390355934640425,13.06277411346592,20230906,Potsdam
NI,52.375167801792266,9.725507504238154,20220423,Hanover
BB,52.3467771465206,14.549837594765933,,Frankfurt (Oder)
NI,52.30314308845559,7.157044867722012,,Burg Bentheim
NI,52.27893502621269,8.046418179782323,20220603,Osnabrück
NI,52.26858079252328,10.52471672976668,20230907,Braunschweig
NI,52.25932735649475,9.043669338208083,20220824,Schloss Bückeburg
ST,52.24935221527962,11.400886221256275,20230904,Schloss Hundisburg
NW,52.24379157998538,8.92417180841311,20211226,Port-Kanzel
NI,52.17283101343114,9.766472054653704,20220422,Schloss Marienburg
NI,52.15425526495859,9.951017524436413,20220422,Hildesheim
NI,52.13547338296128,10.338195551471063,20230908,Museum Schloss Salder
ST,52.11237684159779,11.606903290185388,20230904,Magdeburg
BB,52.05166462111829,13.109340606313712,,Kloster Zinna
NW,52.01523752314173,8.526631290871997,20220826,Sparrenburg
NW,51.96047067407954,7.625518805012289,20220828,Münster
BB,51.91749263961604,13.925744376850435,,Spreewald
NI,51.90311337021377,10.425563355976232,20241223,Kaiserpfalz Goslar
NW,51.86921291728512,8.917488551927056,20220825,Externsteine
ST,51.84609038586228,12.420666464718538,20230905,Wörlitzer Park
ST,51.83095335069287,10.7950460940032,20230909,Schloss Wernigerode
ST,51.79185851877687,11.141180171278226,,Quedlinburg
NI,51.78018794847488,10.523120756373295,20230909,Nationalpark Harz
NW,51.77893980240437,9.40912310442566,20250504,Schloss Corvey
BB,51.75605105899112,14.330817181270715,,Cottbus
NW,51.75533507018938,6.236737869210896,,Museum Schloss Moyland
NW,51.75330070228831,8.722389536387789,20220826,Schloss Neuhaus
NW,51.74345219881153,7.001488560371275,,Schloss Lembeck
NW,51.732349945004,7.5340012593675425,20220828,Schloss Nordkirchen
ST,51.68239008637555,11.265176105974971,,Burg Falkenstein
NI,51.63536561180231,10.404198424036618,,Einhornhöhle
SN,51.54783994521867,14.723053734824328,20250620,Schloss Muskau
TH,51.53580088463544,10.748691059747904,,KZ Gedenkstätte Mittelbau-Dora
NW,51.51457499684815,7.468853230376408,20220828,Dortmund
ST,51.49484119642199,11.966366241550338,,Halle
NW,51.48815782652545,7.043742349213617,20220827,Zeche Zollverein
NW,51.42567003628314,8.32241998170486,,Bilsteinhöhlen Warstein
TH,51.41341692314043,11.10852065259762,,Kyffhäuser
NW,51.407183441880655,7.008852324133112,20220827,Villa Hügel
TH,51.37596685984322,11.03630213311508,,Barbossahöhle
NW,51.36890776415441,7.862069767003822,,Reckenhöhle
NW,51.36605500557285,7.644409788961396,20250406,Dechenhöhle
SN,51.34008115703223,12.371732778145786,20210919,Leipzig
TH,51.33946187094988,9.940205623654538,20240122,Burg Hanstein
NW,51.3386954557792,7.871665335471268,,Balver Höhle
HE,51.31137191079016,9.493582471144377,20230726,Kassel
NW,51.29982672141656,7.674865428397534,20250406,Burg Altena
NW,51.298901381312696,7.35436435258911,20250405,Kluterhöhle
NW,51.224166874759895,6.776960935247911,20211115,Düsseldorf
ST,51.20849520210174,11.775510890356312,20250420,Schloss Neuenburg
HE,51.1932888652948,9.031277779306889,20250608,Edersee
SN,51.17991207002351,14.423220465084627,20250621,Bautzen
SN,51.16794590575057,13.679425246662449,20250619,Schloss Moritzburg
SN,51.16679672958462,13.471135440733834,20250622,Schloss Albrechtsberg
NW,51.15743489529856,7.151840924168923,20250405,Schloss Burg
ST,51.15212951583719,11.814247806783523,20250420,Naumburg
SN,51.15209123388361,14.968230960509675,20250620,Görlitz
NW,51.13758362148698,7.15264819973744,20250405,Schloss Burg
SN,51.13100343173931,12.807336524532095,,Schloss Colditz
NW,51.125810070320966,7.914923215431504,,Atta-höhle
TH,51.08460602040432,10.438141112724038,,Nationalpark Hainich
SN,51.04998883333465,13.736974707814213,20210918,Dresden
TH,51.02162580288402,11.249222706823469,20250421,KZ Buchenwald
SN,51.01855587189774,12.575748565833486,,Burg Gnandstein
TH,50.984810185722736,11.02997157301701,20230728,Erfurt
TH,50.96886494157502,10.307067542647712,20230729,Wartburg
SN,50.96256155711093,14.072883319941814,20210918,Bastei
TH,50.9541570677614,10.307815336340006,20230729,Drachenschlucht
TH,50.94854616110009,11.348994014287044,20250421,Schloss Belvedere
NW,50.93864916211523,6.958612944378349,20211113,Köln
SN,50.91922545611399,14.057294449404774,20250619,Festung Königstein
SN,50.91468384541775,14.281074829027787,20250621,Sächsische Schweiz Nationalpark
TH,50.88086250659096,10.838912372697717,,Burg Gleichen
SN,50.86357944783332,13.858224628838364,20250622,Schloss Kuckuckstein
TH,50.835355782730005,10.349297985428755,20250419,Schloss Altenstein
SN,50.81350307166248,13.099152515703969,,Schloss Augustusburg
HE,50.81055324337825,8.76705936418577,20230725,Marburger Schloss
TH,50.80431783282816,11.611766630668964,20250420,Leuchtenburg
NW,50.77582252524064,6.083624260019149,20250531,Aachen
SN,50.769087728288575,12.888659572638224,,Wasserschloss Klaffenbach
HE,50.7567329445954,8.881478246390817,,Schloss Rauischholzhausen
NW,50.738094461570384,7.09252727880291,20211114,Bonn
TH,50.72315261688713,11.337644277092808,20250420,Schloss Heidecksburg
NW,50.66892427361409,7.2063212958884195,20211114,Schloss Drachenburg
NW,50.58246812046234,6.423318636429082,20250531,Nationalpark Eifel
HE,50.554098690690005,9.6758236896795,20250323,Fuldaer Stadtschloss
NW,50.55290732750128,6.238849629750997,20250531,Monschau
HE,50.5138449432914,8.387492400308265,20250601,Schloss Braunfels
HE,50.48586276973468,8.261314631135706,20250601,Schloss Weilburg
HE,50.468565707314845,8.302238500226913,20250601,Kristallhöhle
