submap,latitude,longitude,date,name
SN,51.340081157032230,12.371732778145786,20210919,Leipzig
TH,51.339461870949880,09.940205623654538,20240122,Burg Hanstein
NW,51.338695455779200,07.871665335471268,20250727,Balver Höhle
HE,51.311371910790160,09.493582471144377,20230726,Kassel
NW,51.299826721416560,07.674865428397534,20250406,Burg Altena
NW,51.298901381312696,07.354364352589110,20250405,Kluterhöhle
HE,51.285644083284495,9.7872182886683240,20250720,Bilsteinturm
NW,51.224166874759895,06.776960935247911,20211115,Düsseldorf
ST,51.208495202101740,11.775510890356312,20250420,Schloss Neuenburg
HE,51.193288865294800,09.031277779306889,20250608,Edersee
SN,51.179912070023510,14.423220465084627,20250621,Bautzen
SN,51.167945905750570,13.679425246662449,20250619,Schloss Moritzburg
SN,51.166796729584620,13.471135440733834,20250622,Schloss Albrechtsberg
NW,51.157434895298560,07.151840924168923,20250405,Schloss Burg
ST,51.152129515837190,11.814247806783523,20250420,Naumburg
SN,51.152091233883610,14.968230960509675,20250620,Görlitz
NW,51.137583621486980,07.152648199737440,20250405,Schloss Burg
SN,51.131003431739310,12.807336524532095,,Schloss Colditz
NW,51.125810070320966,07.914923215431504,20250727,Atta-höhle
TH,51.084606020404320,10.438141112724038,20250809,Nationalpark Hainich
SN,51.049988833334650,13.736974707814213,20210918,Dresden
TH,51.021625802884020,11.249222706823469,20250421,KZ Buchenwald
SN,51.018555871897740,12.575748565833486,,Burg Gnandstein
TH,50.984810185722736,11.029971573017010,20230728,Erfurt
TH,50.968864941575020,10.307067542647712,20230729,Wartburg
SN,50.962561557110930,14.072883319941814,20210918,Bastei
TH,50.954157067761400,10.307815336340006,20230729,Drachenschlucht
TH,50.948546161100090,11.348994014287044,20250421,Schloss Belvedere
NW,50.938649162115230,06.958612944378349,20211113,Köln
SN,50.919225456113990,14.057294449404774,20250619,Festung Königstein
SN,50.914683845417750,14.281074829027787,20250621,Sächsische Schweiz Nationalpark
TH,50.880862506590960,10.838912372697717,20250809,Burg Gleichen
SN,50.863579447833320,13.858224628838364,20250622,Schloss Kuckuckstein
TH,50.835355782730005,10.349297985428755,20250419,Schloss Altenstein
SN,50.813503071662480,13.099152515703969,,Schloss Augustusburg
HE,50.810553243378250,08.767059364185770,20230725,Marburger Schloss
