number,name,submap,latitude,longitude,values,date
79,Charles Pinckney NHS,SC,32.84645072770478,-79.8247283657227,0.0,20160501
80,Charles Young Buffalo Soldiers NM,OH,39.70825466825573,-83.89063834032443,0.0,20181006
81,Chattahoochee River NRA,GA,33.98809176877906,-84.32412598232797,0.0,20151004
82,Chesapeake and Ohio Canal NHP,DC,39.50092950506559,-77.84491835375542,0.0,20160530
83,Chickamauga and Chattanooga NMP,GA,34.93404256171934,-85.28013433441075,0.0,20151003
84,Chickasaw NRA,OK,34.461846496254104,-97.00702795511089,0.0,20171223
85,Chiricahua NM,AZ,32.01290731717124,-109.34167667779104,0.0,0
86,Christiansted NHS,VI,17.7474331310613,-64.7023289181468,0.0,0
87,City of Rocks NPres,ID,42.07306689679784,-113.70381986296807,0.0,0
88,Clara Barton NHS,MD,38.96763237522109,-77.1409490820061,0.0,20151228
89,Colonial NHP,VA,37.23099860014624,-76.50276750954013,0.0,20160325
90,Colorado NM,CO,39.05092961607754,-108.69219470896256,0.0,0
91,Congaree NP,SC,33.80084711424209,-80.74829159317974,0.0,20160912
92,Constitution Gardens Park,DC,38.89208094484619,-77.04451718355718,0.0,20151226
93,Coronado NMem,AZ,31.348304883610044,-110.25380577260728,0.0,0
94,Cowpens NB,SC,35.13788592322677,-81.81773929972636,0.0,20150718
95,Crater Lake NP,ID,42.97334262859125,-122.12633200529336,0.0,20190702
96,Craters of the Moon NM&NPres,ID,43.17218731231748,-113.48208066696924,0.0,0
97,Crossroads of the American Revolution NHA,NJ,40.22170812638051,-74.76932143722557,0.0,20160917
98,Cumberland Gap NHP,KY,36.62661491086517,-83.60853013118215,0.0,20160814
99,Cumberland Island NS,GA,30.84833796185664,-81.45450234957572,0.0,20190525
100,Curecanti NRA,CO,38.46627876598758,-107.16673209445348,0.0,0
101,Cuyahoga Valley NP,OH,41.32202958859705,-81.57284940074878,0.0,20160612
102,David Berger NM,OH,41.474713697182445,-81.49165244947447,0.0,20170414
103,Dayton Aviation Heritage NHP,OH,39.75598001322475,-84.21175614286209,0.0,20181005
104,De Soto NMem,FL,27.52460509886887,-82.64340427475564,0.0,20191226
105,Death Valley NP,CA,37.02078607831237,-117.17056931416845,0.0,0
106,Delaware Water Gap NRA,NJ,41.10479449362536,-74.94438962524588,0.0,20160918
107,Denali NP,AK,63.375583084865454,-150.79830005732927,0.0,0
108,Devils Postpile NM,CA,37.61622764485837,-119.08765356158388,0.0,0
109,Devils Tower NM,SD,44.59162902874186,-104.7147063824598,0.0,20181120
110,Dinosaur NM,CO,40.51326467662732,-108.9487895812977,0.0,0
111,Dry Tortugas NP,FL,24.633968405637216,-82.87349144875289,0.0,20191225
112,Dwight D Eisenhower Mem,DC,38.88810056480862,-77.0188737950604,0.0,20151226
113,Ebey's Landing NHR,AK,48.25204188909066,-122.70740633078576,0.0,0
114,Edgar Allen Poe NHS,PA,39.96205634043528,-75.14992085866068,0.0,20160716
115,Effigy Mounds NM,OH,43.08905487821399,-91.18558409180582,0.0,20181008
116,Eisenhower NHS,PA,39.795577098908566,-77.26352347854933,0.0,20160529
117,El Malpais NM,NM,35.118986634423194,-107.82872250663256,0.0,0
118,El Morro NM,NM,35.0402178454769,-108.34396228822294,0.0,0
119,Eleanor Roosevelt NHS,NY,41.7629317292442,-73.89954628135068,0.0,20160919
120,Emmett Till and Mamie Till-Mobley NM,MS,33.97134681129783,-90.36974346216658,0.0,20171130
121,Erie Canalway NHC,NY,42.78460156469404,-73.68064105841837,0.0,20160921
122,Essex NHA,MA,42.52451256331842,-70.89424641668587,0.0,20160926
123,Eugene O'Neall NHS,CA,37.82711919868202,-122.02724911568154,0.0,20190706
124,Everglades NP,FL,25.47677157671784,-80.88595589209235,0.0,20191222
125,Federal Hall NMem,NY,40.70758098253528,-74.01020405772513,0.0,20180722
126,Fire Island NS,NY,40.64440986270991,-73.16400142353062,0.0,0
127,First Ladies NHS,OH,40.798255102589785,-81.37518424705577,0.0,20170414
128,First State NHP,DE,39.660401672174494,-75.56358067307171,0.0,20160717
129,Flight 93 NMem,PA,40.0594927756849,-78.89486017528708,0.0,20160619
130,Florissant Fossil Beds NM,CO,38.91431659580663,-105.28548855679485,0.0,20181015
131,Ford's Theatre NHS,DC,38.76879716,-77.02553698,0.0,20151226
132,Fort Bowie NHS,AZ,32.1451586188662,-109.43602833411266,0.0,0
133,Fort Caroline NMem,FL,30.38523898117681,-81.49805788752774,0.0,20190526
134,Fort Davis NHS,TX,30.59919755644444,-103.89528065426806,0.0,20171220
135,Fort Donelson NB,KY,36.48224353116664,-87.86347096398981,0.0,20160810
136,Fort Foote Park,DC,38.76784271888985,-77.02496847503694,0.0,20151010
137,Fort Frederica NM,GA,31.225107772442644,-81.39206227361004,0.0,20190525
138,Fort Laramie NHS,WY,42.20426945944789,-104.55609236254432,0.0,20181011
