name,submap,latitude,longitude,values,date
Agate Fossil Beds NM,NE,42.4254659,-103.734226,0.0,20181010
Longfellow House NHS,MA,42.3774953898866,-71.12632055662039,0.0,20150611
Boston NHP,MA,42.37340611627443,-71.05651151217522,0.0,20150610
Martin Van Buren NHS,NY,42.37014272208567,-73.70416130944446,0.0,20160920
Boston African American NHS,NY,42.36094758087968,-71.06507208918194,0.0,20150608
John F Kennedy NHS,MA,42.34742696176482,-71.12330395369952,0.0,20150610
California NHT,WY,42.33817781830123,-110.67403112130454,0.0,20150525
Frederick Law Olmsted NHS,MA,42.325812121566464,-71.13223594553051,0.0,20150610
Boston Harbor Islands NRA,MA,42.31283086439302,-70.94930017483412,0.0,20150613
Adams NHP,MA,42.25654473,-71.01182318,0.0,20150612
Fort Laramie NHS,WY,42.20426945944789,-104.55609236254432,0.0,20181011
Springfield Armory NHS,MA,42.107681631969946,-72.58146839659979,0.0,20160929
Oregon Caves NM,OR,42.0988371981579,-123.40682911371032,0.0,20190701
Washington-Rochambeau Rev. Rt. NHT,MA,42.095248975686815,-71.26956814381529,0.0,20151010
City of Rocks NPres,ID,42.07306689679784,-113.70381986296807,0.0,0
Pony Express NHT,WY,42.06220628138199,-104.18410616352396,0.0,20181011
River Raisin NBP,MI,41.916019951937415,-83.37988243092043,0.0,0
Tule Lake NM,CA,41.88762026213523,-121.3771649610455,0.0,20190703
Blackstone River Valley NHP,RI,41.87886558615023,-71.38317257880699,0.0,20160928
Fossil Butte NM,WY,41.85703888353293,-110.76242051518524,0.0,20150525
Scotts Bluff NM,NE,41.83463324578654,-103.70701227100844,0.0,20181011
Roger Williams NMem,RI,41.831666554625656,-71.41093694895771,0.0,20160928
Vanderbilt Mansion NHS,NY,41.79759030759542,-73.94199583979432,0.0,20160919
Lava Beds NM,CA,41.77550293460772,-121.50677203928362,0.0,20190703
Home of Franklin D. Roosevelt NHS,NY,41.7683600643813,-73.93530247687958,0.0,20160919
Eleanor Roosevelt NHS,NY,41.7629317292442,-73.89954628135068,0.0,20160919
Cape Cod NS,MA,41.72727705275205,-69.93024768439696,0.0,20160926
Pullman NHP,IL,41.694052159675294,-87.60764955412142,0.0,0
Herbert Hoover NHS,IA,41.67013130693787,-91.34633347673726,0.0,20181008
James A Garfield NHS,OH,41.665392913253584,-81.35088547785094,0.0,20170414
Indiana Dunes NP,IN,41.65828365320674,-87.05173213545861,0.0,0
Perry's Victory and International Peace Mem,MI,41.654503001513845,-82.81132598874824,0.0,0
