name,latitude,longitude,values,date
Congaree NP,33.7976801184377,-80.74955742097043,0.5,NAN
Olympic NP,47.82675499073043,-123.60858096440512,0.5,NAN
National Mall,38.88839847962968,-77.03650034837972,0.5,Dec 26 2015
World War 1 Memorial,38.896855056234905,-77.03258101518942,0.5,Dec 26 2015
Olympic NP,47.82675499073043,-123.60858096440512,0.5,Jul 11 2021
Big Bend NP,29.251661029454393,-103.25016380000001,0.5,NAN
Overmountain Victory NHT,35.1420929544177,-81.34489569274422,0.5,Dec 10 2017
Pacific Crest NST,40.75515184544819,-121.38563467583762,0.5,Jul 12 2016
Padre Island NS,27.086348237968878,-97.38428754381907,0.5,Nov 28 2017
