,name,latitude,longitude,values,date
92,Constitution Gardens,36.62636799,-83.60854543,0.0,20160814
93,Coronado NMem,31.346335806047517,-110.25393041631224,0.0,0
94,Cowpens NB,30.84758882,-81.45460124,0.0,20190525
95,Crater Lake NP,41.28205325,-81.56786641,0.0,20160612
96,Craters of the Moon NM NPres,43.17218731231748,-113.48208066696924,0.0,0
97,Crossroads of the American Revolution NHA,41.47436146,-81.49188807,0.0,20170414
98,Cumberland Gap NHP,39.75593769,-84.21172806,0.0,20181005
99,Cumberland Island NS,27.52423804,-82.64325393,0.0,20191226
100,Curecanti NRA,38.46627876598758,-107.16673209445348,0.0,0
101,Cuyahoga Valley NP,41.1048283,-74.94433564,0.0,20160918
102,David Berger NM,44.59037471,-104.7145607,0.0,20181120
103,Dayton Anation Heritage NHP,24.62987323,-82.87285418,0.0,20191225
104,De Soto NMem,39.96227192,-75.14982328,0.0,20160716
105,Death Valley NP,36.5725967300433,-117.08768444138192,0.0,0
106,Delaware Water Gap NRA,43.08918641,-91.18548094,0.0,20181008
107,Denali NP,63.375583084865454,-150.79830005732927,0.0,0
108,Devils Postpile NM,37.61622764485837,-119.08765356158388,0.0,0
109,Devils Tower NM,39.79432361,-77.26279576,0.0,20160329
110,Dinosaur NM,40.51326467662732,-108.9487895812977,0.0,0
111,Dry Tortugas NP,41.76334933,-73.89951288,0.0,20160920
112,Dwight D. Eisenhower Memorial,38.88810056480862,-77.0188737950604,0.0,0
113,Ebey's Landing NHR,48.25204188909066,-122.70740633078576,0.0,0
114,Edgar Allen Poe NHS,42.78470365,-73.6807866,0.0,20160921
115,Effigy Mounds NM,42.53628041,-70.89279673,0.0,20160926
116,Eisenhower NHS,37.8263111,-122.0271226,0.0,20190706
117,El Malpais NM,35.118986634423194,-107.82872250663256,0.0,0
118,El Morro NM,35.0402178454769,-108.34396228822294,0.0,0
119,Eleanor Roosevelt NHS,25.39367767,-80.94223819,0.0,20191222
120,Emmett Till and Mamie Till-Mobley NM,33.97150950768376,-90.3696396652802,0.0,0
121,Erie Canalway NHC,40.79804396,-81.37535054,0.0,20171201
122,Essex NHA,39.66043596,-75.56364576,0.0,20160326
123,Eugene O'Neall NHS,39.66067838,-75.56365332,0.0,20160717
124,Everglades NP,40.05921314,-78.89508316,0.0,20160619
125,Federal Hall NMem,40.70758098253528,-74.01020405772513,0.0,0
126,Fire Island NS,40.64440986270991,-73.16400142353062,0.0,0
127,First Ladies NHS,38.91396343,-105.2856215,0.0,20181015
128,First State NHP,38.89638062,-77.02540734,0.0,20151226
129,Flight 93 NMem,30.59916352,-103.8953871,0.0,20171220
130,Florissant Fossil Beds NM,36.48203861,-87.86323031,0.0,20160810
131,Ford's Theatre NHS,38.76879716,-77.02553698,0.0,20151010
132,Fort Bowie NHS,32.1451586188662,-109.43602833411266,0.0,0
133,Fort Caroline Nmem,31.22468947,-81.39201801,0.0,20190523
134,Fort Davis NHS,42.20405698,-104.5559643,0.0,20181011
135,Fort Donelson NB,29.71615444,-81.23898385,0.0,20190526
136,Fort Foote Park,39.26429591,-76.58066822,0.0,20160327
137,Fort Frederica NM,37.00443548,-76.30735821,0.0,20160325
138,Fort Laramie NHS,39.81535067,-79.5893993,0.0,20160618
139,Fort Larned NHS,38.18308288393273,-99.22114560520824,0.0,0
140,Fort Matanzas NM,37.81109033,-122.4770254,0.0,20150517
141,Fort McHenry NM,32.02759076,-80.89049163,0.0,20190521
142,Fort Monroe NM,35.93604861,-75.70855211,0.0,20151024
143,Fort Necessity NB,37.8437382,-94.70430621,0.0,20171126
144,Fort Point NHS,35.38840746,-94.42992626,0.0,20171127
145,Fort Pulaski NM,43.21093184,-75.45547019,0.0,20160920
146,Fort Raleigh NHS,32.75348159,-79.87472831,0.0,20160501
147,Fort Scott NHS,35.90532655,-105.011307,0.0,20181016
148,Fort Smith NHS,45.62748465,-122.6564887,0.0,20210717
149,Fort Stanwix NM,38.71221494,-77.02826947,0.0,20151010
150,Fort Sumter and Fort Moultrie NHP,41.85697301,-110.7624337,0.0,20150525
151,Fort Union NM,38.88365247,-77.04301404,0.0,20151226
152,Fort Union Trading Post NHS,47.9997424311338,-104.04079262539726,0.0,0
153,Fort Vancouver NHS,38.8637044,-76.98503074,0.0,20151228
154,Fort Washington Park,42.32554441,-71.13237982,0.0,20150610
155,Fossil Butte NM,38.29403589,-77.46745112,0.0,20151009
156,Franklin Delano Roosevelt Memorial,39.77576746,-79.93143487,0.0,20160618
157,Fredence Douglass NHS,38.2233531,-80.99125512,0.0,20150906
158,Frederick Law Olmsted NHS,40.81364462,-73.96314852,0.0,20180721
159,Fredericksburg and Spotsylvania NMP,38.6785556,-87.536717,0.0,20160811
160,Freedom Riders NM,33.6584228571367,-85.83112868981452,0.0,0
161,Friendship Hill NHS,38.18460237,-76.92007086,0.0,20151010
162,Gates of the Arctic NP NPres,67.77682891323641,-153.3464765936084,0.0,0
163,Gateway Arch NP,38.625504043574765,-90.18608880999714,0.0,0
164,Gateway NRA,40.44020633729475,-73.98849020082417,0.0,0
165,Gauley River NRA,36.98649976,-94.354816,0.0,20171126
166,General Grant NMem,38.84432053,-77.04904918,0.0,20151226
167,George Rogers Clark NHP,39.80604603,-77.24176392,0.0,20160329
168,George Washington Birthplace NM,37.84752486,-122.5306404,0.0,20150517
169,George Washington Carver NM,40.69034515,-74.01721006,0.0,20180722
