name,name,latitude,longitude,values,date
Pearl Harbor National Memorial,Pearl Harbor NMem,,,,
Pecos National Historical Park,Pecos NHP,36.50807595,-121.1816646,0.5,May 15 2015
Pennsylvania Avenue National Historic Site,Pennsyluania Avenue NHS,44.01358811,-96.32516827,0.5,Oct 9 2018
Perry's Victory and International Peace Memorial,Perry's Victory and International Peace Memorial,,,,
Petersburg National Battlefield,Petersburg NB,38.6877928,-77.050099,0.5,Oct 10 2015
,Peterson House NHS,40.75240828,-111.8200174,0.5,Oct 11 2018
Petrified Forest National Park,Petrified Forest NP,,,,
Petroglyph National Monument,Petroglyph NM,,,,
Pictured Rocks National Lakeshore,Pictured Rocks NL,,,,
Pinnacles National Park,Pinnacles NP,38.05790202,-122.0297033,0.5,Jul 6 2019
Pipe Spring National Monument,Pipe Spring NM,,,,
Pipestone National Monument,Pipestone NM,39.05230912,-77.33387137,0.5,Oct 10 2015
Piscataway Park,Piscataway Park,38.59476991,-77.38323491,0.5,Oct 9 2015
Point Reyes National Seashore,Point Reyes NS,35.54830014,-105.6845392,0.5,Oct 18 2018
,Pony Express NHT,32.63626192,-91.40321909,0.5,Nov 30 2017
Port Chicago Naval Magazine National Memorial,Port Chicago Naval Magazine NM,33.66802996,-93.59626956,0.5,Nov 28 2017
Potomac Heritage National Scenic Trail,Potomac Heritage NST,38.59476991,-77.38323491,0.5,Oct 9 2015
Poverty Point National Monument,Poverty Point NM,32.43284224,-80.67082582,0.5,May 27 2019
President William Jefferson Clinton Birthplace Home National Historic Site,President William Jefferson Clinton Birthplace Home NHS,41.52412888,-124.0504823,0.5,Jun 30 2019
Prince William Forest Park,Prince William Forest Park,29.61373048,-102.7371656,0.5,Dес 17 2017
Pullman National Historical Park,Pullman NHP,,,,
Pu'uhonua O Honaunau National Historical Park,Pu'uhonua O Honaunau NHP,,,,
Pu'ukohola Heiau National Historic Site,Pu'ukohola Heiau NHS,,,,
Rainbow Bridge National Monument,Rainbow Bridge NM,,,,
Reconstruction Era National Historical Park,Reconstruction Era NHP,38.96778445,-77.04519341,0.5,Маг 26 2016
Redwood National Park,Redwood NP,40.36280596,-105.6841904,0.5,Oct 11 2018
Richmond National Battlefield Park,Richmond NBP,41.83171422,-71.41073225,0.5,Sep 28 2016
Rio Grande Wild and Scenic River,Rio Grande Wild and Scene River,37.91012139,-122.3571347,0.5,Jul 6 2019
River Raisin National Battlefield Park,River Raisin NBP,,,,
Rock Creek Park,Rock Creek Park,48.78605757,-121.0655649,0.5,Jul 11 2021
Rocky Mountain National Park,Rocky Mountain NP,34.97953077,-85.80982052,0.5,Oct 3 2015
Roger Williams National Memorial,Roger Williams NMem,43.50079054,-72.36927092,0.5,Sep 22 2016
Rosie the Riveter World War II Home Front National Historical Park,Rosie the Riveter NHP,42.5219649,-70.88684533,0.5,Sep 29 2016
Ross Lake National Recreation Area,Ross Lake NRA,29.32958863,-98.4536479,0.5,Dec 16 2017
Russell Cave National Monument,Russell Cave NM,37.8067564,-122.4238761,0.5,May 17 2015
Sagamore Hill National Historic Site,Sagamore Hill NHS,,,,
Saguaro National Park,Saguaro NP,,,,
Saint Croix Island International Historic Site,Saint Croix Island IHS,,,,
Saint Croix National Scenic Riverway,Saint Croix NSR,,,,
Saint Paul's Church National Historic Site,Saint Paul's Church NHS,,,,
Saint-Gaudens National Historical Park,Saint-Gaudens NHS,37.80676358,-122.4239608,0.5,Jul 6 2019
Salem Maritime National Historic Site,Salem Maritime NHS,37.47126089,-105.8654155,0.5,Oct 16 2018
Salinas Pueblo Missions National Monument,Salinas Pueblo Missions NM,,,,
Salt River Bay National Historical Park and Ecological Preserve,Salt River Bay NHP and Ecological Preserve,,,,
San Antonio Missions National Historical Park,San Antonio Missions NHP,35.66564158,-105.9210309,0.5,Oct 15 2018
San Francisco Maritime National Historical Park,San Francisco Maritime NHP,34.10501964,-118.6028898,0.5,May 9 2016
San Juan Island National Historical Park,San Juan Island NHP,,,,
San Juan National Historic Site,San Juan NHS,,,,
Sand Creek Massacre National Historic Site,Sand Creek Massacre NHS,,,,
,Sangre de CAsto NHA,42.46853546,-71.00833141,0.5,Sep 26 2016
,Santa Fe NHT,41.83455453,-103.7071346,0.5,Oct 11 2018
Santa Monica Mountains National Recreation Area,Santa Monica Mountains NRA,38.70238472,-78.6839126,0.5,Mar 30 2016
Saratoga National Historical Park,Saratoga NHP,38.65992912,-78.50155651,0.5,Mar 30 2016
Saugus Iron Works National Historic Site,Saugus Iron Works NHS,35.13943069,-88.34228057,0.5,Nov 25 2017
Scotts Bluff National Monument,Scotts Bluff NM,42.10751963,-72.5815946,0.5,Sep 29 2016
Sequoia National Park,Sequoia NP,,,,
,Shenandoah Battlefields NHP,39.26669535,-76.57901573,0.5,Oct 10 2015
Shenandoah National Park,Shenandoah NP,40.68942321,-74.0444978,0.5,Jul 22 2018
Shiloh National Military Park,Shiloh NMP,41.40820874,-75.67212627,0.5,Sep 18 2016
Sitka National Historical Park,Sitka NHP,,,,
Sleeping Bear Dunes National Lakeshore,Sleeping Bear Dunes NL,,,,
Springfield 1908 Race Riot National Monument,Springfield 1908 Race Riot NM,,,,
Springfield Armory National Historic Site,Springfield Armory NHS,35.87782266,-86.43128446,0.5,Aug 10 2016
,Star Spangled Banner NST,39.94397591,-75.14745296,0.5,Jul 16 2016
Statue of Liberty National Monument,Statue of Liberty NM,38.89627503,-77.06361518,0.5,Dec 28 2015
Ste. Genevieve National Historical Park,Ste. Genevieve NHP,,,,
Steamtown National Historic Site,Steamtown NHS,40.78409018,-74.23416164,0.5,Sep 17 2016
Stones River National Battlefield,Stones River NB,38.88207273,-77.03561717,0.5,Dec 26 2015
Stonewall National Monument,Stonewall NM,,,,
Sunset Crater Volcano National Monument,Sunset Crater Volcano NM,,,,
Tallgrass Prairie National Preserve,Tallgrass Prairie Npres,,,,
Thaddeus Kosciuszko National Memorial,Thaddeus Kosciuszko NMem,38.5349329,-77.03690305,0.5,Oct 11 2015
Theodore Roosevelt Birthplace National Historic Site,Theodore Roosevelt Birthplace NHS,,,,
Theodore Roosevelt Inaugural National Historic Site,Theodore Roosevelt Inaugural NHS,,,,
Theodore Roosevelt Island,Theodore Roosevelt Island,40.44892564,-111.704981,0.5,May 26 2015
Theodore Roosevelt National Park,Theodore Roosevelt NP,,,,
Thomas Edison National Historical Park,Thomas Edison NHP,30.45540602,-81.44993524,0.5,May 26 2019
,Thomas Jefferson Memorial,35.19877502,-85.62902037,0.5,Oct 3 2015
Thomas Stone National Historic Site,Thomas Stone NHS,41.88778534,-121.3770423,0.5,Jul 3 2019
Timpanogos Cave National Monument,Timpanagos Cave NM,34.25588721,-88.73710868,0.5,Nov 24 2017
Timucuan Ecological and Historic Preserve,Timucuan Ecological and Historical Preserve,32.45734364,-85.680126,0.5,Jan 30 2016
Tonto National Monument,Tonto NM,,,,
,Trail of Tears NHT,32.430065,-85.70674707,0.5,Jап 24 2016
Tule Lake National Monument,Tule Lake NM,38.54065015,-77.01891996,0.5,Oct 11 2015
Tule Springs Fossil Beds National Monument,Tule Springs Fossil Beds NM,,,,
Tumacacori National Historical Park,Tumacacori NHP,,,,
Tupelo National Battlefield,Tupelo NB,41.62702675,-75.05011336,0.5,Sep 18 2016
Tuskegee Airmen National Historic Site,Tuskegee Airmen NHS,35.83312502,-106.4870292,0.5,Oct 12 2018
Tuskegee Institute National Historic Site,Tuskegee Institute NHS,40.10020636,-75.44598854,0.5,Mar 26 2016
Tuzigoot National Monument,Tuzigoot NM,,,,
Ulysses S. Grant National Historic Site,Ulysses S. Grant NHS,,,,
,Underground Railroad Network,41.79704336,-73.94262064,0.5,Sep 19 2016
Upper Delaware Scenic and Recreational River,Upper Delaware Scene and Recreational River,32.35525032,-90.84540659,0.5,Nov 30 2017
Valles Caldera National Preserve,Valles Caldera NPres,38.89197989,-77.04772381,0.5,Dec 26 2015
Valley Forge National Historical Park,Valley Forge NHP,31.6070115,-97.17591394,0.5,Dec 7 2017
Vanderbilt Mansion National Historic Site,Vanderbilt NHS,38.88973863,-77.03516473,0.5,Dec 26 2015
Vicksburg National Military Park,Vicksburg NMP,42.09449253,-71.26957904,0.5,Sep 12 2016
Vietnam Veterans Memorial,Vietnam Veterans Memonial,35.61698719,-99.68640853,0.5,Dec 22 2017
Virgin Islands Coral Reef National Monument,Virgin Islands Coral Reef NM,,,,
Virgin Islands National Park,Virgin Islands NP,,,,
Voyageurs National Park,Voyageurs NP,,,,
Waco Mammoth National Monument,Waco Mammoth NM,46.04189055,-118.4638939,0.5,Jul 14 2021
Walnut Canyon National Monument,Walnut Canyon NM,,,,
War in the Pacific National Historical Park,War in the Pacific NHP,,,,
Washington Monument,Washington Monument,39.11970634,-84.50825971,0.5,Oct 6 2018
,Washington-Rochambeau Revolutionary Route NHT,37.11665086,-93.41998376,0.5,Nov 26 2017
Washita Battlefield National Historic Site,Washita Battlefield NM,43.5781519,-103.4373833,0.5,Nov 23 2018
Weir Farm National Historical Park,Weir Farm NHP,,,,
Whiskeytown-Shasta-Trinity National Recreation Area,Whiskeytown-Shasta-Trinity NRA,,,,
White House and President's Park,President's Park-The White House,37.52698011,-77.41214963,0.5,Oct 11 2015
White Sands National Park,White Sands NP,,,,
Whitman Mission National Historic Site,Whitman Mission NHS,42.91129781,-76.80003003,0.5,Sep 19 2016
William Howard Taft National Historic Site,William Howard Taft NHS,38.89685506,-77.03258102,0.5,Dec 26 2015
Wilson's Creek National Battlefield,Wilson's Creek NB,38.88958984,-77.04061205,0.5,Dec 26 2015
Wind Cave National Park,Wind Cave NP,36.01822972,-75.66798457,0.5,Oct 24 2015
Wolf Trap National Park for the Performing Arts,Wolf Trap National Park for the Performing Arts,,,,
Women's Rights National Historical Park,Womens Rights NHP,44.61521586,-110.5618383,0.5,May 22 2015
World War I Memorial,World War 1 Memorial,,,,
World War II Memorial,World War II Memorial,,,,
Wrangell-St. Elias National Park,Wrangell-St. Elias NP,,,,
Wrangell-St. Elias National Preserve,Wrangell-St. Elias NPres,,,,
Wright Brothers National Memorial,Wright Brothers NM,,,,
Wupatki National Monument,Wupatki NM,,,,
Yellowstone National Park,Yellowstone NP,,,,
Yosemite National Park,Yosemite NP,,,,
Yucca House National Monument,Yucca House NM,,,,
Yukon-Charley Rivers National Preserve,Yukon-Charley Rivers Npres,,,,
Zion National Park,Zion NP,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
