name,name,latitude,longitude,values,date
Cedar Creek and Belle Grove National Historical Park,Cedar Creek and Belle Grove NHP,39.70756369,-83.89032089,0.5,Oct 6 2018
CÈsar E. Ch·vez National Monument,CÈsar E. Ch·vez NM,,,,
Chaco Culture National Historical Park,Chaco Culture NHP,,,,
Chamizal National Memorial,Chamizal Nmem,,,,
,Champlain Valley NHA,33.98801138,-84.32396735,0.5,Oct 4 2015
Channel Islands National Park,Channel Islands NP,34.93452034,-85.27981039,0.5,Oct 3 2015
Charles Pinckney National Historic Site,Charles Pinckney NHS,34.46155201,-97.00682073,0.5,Dec 23 2017
Charles Young Buffalo Soldiers National Monument,Charles Young Buffalo Soldiers NM,37.22992505,-76.50172109,0.5,Mar 25 2016
Chattahoochee River National Recreation Area,Chattahoochee River NRA,33.79910315,-80.74876466,0.5,NAN
Chesapeake and Ohio Canal National Historical Park,Chesapeake and Ohio Canal NHP,,,,
Chickamauga & Chattanooga National Military Park,Chickamauga and Chattanooga NMP,38.89138336,-77.04449448,0.5,Dec 26 2015
Chickasaw National Recreation Area,Chickasaw NRA,35.13763723,-81.81790086,0.5,Jul 18 2015
Chiricahua National Monument,Chiricahua NM,,,,
Christiansted National Historic Site,Christiansted NHS,,,,
City of Rocks National Reserve,City of Rocks Nres,,,,
Clara Barton National Historic Site,Clara Barton NHS,,,,
Colonial National Historical Park,Colonial NHP,42.95620583,-122.1217027,0.5,Jul 2 2019
Colorado National Monument,Colorado NM,,,,
Congaree National Park,Congaree NP,40.22417516,-74.7692996,0.5,Sep 12 2016
Constitution Gardens,Constitution Gardens,36.62636799,-83.60854543,0.5,Aug 14 2016
Coronado National Memorial,Coronado Nmem,,,,
Cowpens National Battlefield,Cowpens NB,30.84758882,-81.45460124,0.5,May 25 2019
Crater Lake National Park,Crater Lake NP,41.28205325,-81.56786641,0.5,June 12 2016
Craters of the Moon National Monument,Craters of the Moon NM,,,,
Craters of the Moon National Preserve,Craters of the Moon Npres,,,,
,Crossroads of the American Revolution NHA,41.47436146,-81.49188807,0.5,Apr 14 2017
Cumberland Gap National Historical Park,Cumberland Gap NHP,39.75593769,-84.21172806,0.5,Oct 5 2018
Cumberland Island National Seashore,Cumberland Island NS,27.52423804,-82.64325393,0.5,Dec 26 2019
Curecanti National Recreation Area,Curecanti NRA,,,,
Cuyahoga Valley National Park,Cuyahoga Valley NP,41.1048283,-74.94433564,0.5,Sep 18 2016
,David Berger NM,44.59037471,-104.7145607,0.5,Nov 20 2018
Dayton Aviation Heritage National Historical Park,Dayton Anation Heritage NHP,24.62987323,-82.87285418,0.5,Dec 25 2019
De Soto National Memorial,De Soto NMem,39.96227192,-75.14982328,0.5,Jul 16 2016
Death Valley National Park,Death Valley NP,,,,
Delaware Water Gap National Recreation Area,Delaware Water Gap NRA,43.08918641,-91.18548094,0.5,Oct 8 2018
Denali National Park,Denali NP,,,,
Denali National Preserve,Denali NPres,,,,
Devils Postpile National Monument,Devils Postpile NM,,,,
Devils Tower National Monument,Devils Tower NM,39.79432361,-77.26279576,0.5,Mar 29 2016
Dinosaur National Monument,Dinosaur NM,,,,
Dry Tortugas National Park,Dry Tortugas NP,41.76334933,-73.89951288,0.5,Sep 20 2016
Dwight D. Eisenhower Memorial,Dwight D. Eisenhower Memorial,,,,
Ebey's Landing National Historical Reserve,Ebey's Landing NHR,,,,
Edgar Allan Poe National Historic Site,Edgar Allen Poe NHS,42.78470365,-73.6807866,0.5,Sep 21 2016
Effigy Mounds National Monument,Effigy Mounds NM,42.53628041,-70.89279673,0.5,Sep 26 2016
Eisenhower National Historic Site,Eisenhower NHS,37.8263111,-122.0271226,0.5,Jul 6 2019
El Malpais National Monument,El Malpais NM,,,,
El Morro National Monument,El Morro NM,,,,
Eleanor Roosevelt National Historic Site,Eleanor Roosevelt NHS,25.39367767,-80.94223819,0.5,Dec 22 2019
Emmett Till and Mamie Till-Mobley National Monument,Emmett Till and Mamie Till-Mobley NM,,,,
,Erie Canalway NHC,40.79804396,-81.37535054,0.5,Dec 1 2017
,Essex NHA,39.66043596,-75.56364576,0.5,Mar 26 2016
Eugene O'Neill National Historic Site,Eugene O'Neall NHS,39.66067838,-75.56365332,0.5,Jul 17 2016
Everglades National Park,Everglades NP,40.05921314,-78.89508316,0.5,Jun 19 2016
Federal Hall National Memorial,Federal Hall Nmem,,,,
Fire Island National Seashore,Fire Island NS,,,,
First Ladies National Historic Site,First Ladies NHS,38.91396343,-105.2856215,0.5,Oct 15 2018
First State National Historical Park,First State NHP,38.89638062,-77.02540734,0.85,Dec 26 2015
Flight 93 National Memorial,Flight 93 NMem,30.59916352,-103.8953871,0.5,Dec 20 2017
Florissant Fossil Beds National Monument,Florissant Fossil Beds NM,36.48203861,-87.86323031,0.5,Aug 10 2016
Ford's Theatre National Historic Site,Ford's Theatre NHS,38.76879716,-77.02553698,0.5,Oct 10 2015
Fort Bowie National Historic Site,Fort Bowie NHS,,,,
Fort Caroline National Memorial,Fort Caroline Nmem,31.22468947,-81.39201801,0.5,May 23 2019
Fort Davis National Historic Site,Fort Davis NHS,42.20405698,-104.5559643,0.5,Oct 11 2018
Fort Donelson National Battlefield,Fort Donelson NB,29.71615444,-81.23898385,0.5,May 26 2019
,Fort Foote Park,39.26429591,-76.58066822,0.5,Mar 27 2016
Fort Frederica National Monument,Fort Frederica NM,37.00443548,-76.30735821,0.5,Mar 25 2016
Fort Laramie National Historic Site,Fort Laramie NHS,39.81535067,-79.5893993,0.5,Jun 18 2016
Fort Larned National Historic Site,Fort Larned NHS,,,,
Fort Matanzas National Monument,Fort Matanzas NM,37.81109033,-122.4770254,0.5,May 17 2015
Fort McHenry National Monument and Historic Shrine,Fort McHenry NM,32.02759076,-80.89049163,0.5,May 21 2019
Fort Monroe National Monument,Fort Monroe NM,35.93604861,-75.70855211,0.5,Oct 24 2015
Fort Necessity National Battlefield,Fort Necessity NB,37.8437382,-94.70430621,0.5,Nov 26 2017
Fort Point National Historic Site,Fort Point NHS,35.38840746,-94.42992626,0.5,Nov 27 2017
Fort Pulaski National Monument,Fort Pulaski NM,43.21093184,-75.45547019,0.5,Sep 20 2016
Fort Raleigh National Historic Site,Fort Raleigh NHS,32.75348159,-79.87472831,0.5,May 1 2016
Fort Scott National Historic Site,Fort Scott NHS,35.90532655,-105.011307,0.5,Oct 16 2018
Fort Smith National Historic Site,Fort Smith NHS,45.62748465,-122.6564887,0.5,Jul 17 2021
Fort Stanwix National Monument,Fort Stanwix NM,38.71221494,-77.02826947,0.5,Oct 10 2015
Fort Sumter and Fort Moultrie National Historical Park,Fort Sumter and Fort Moultrie NHP,41.85697301,-110.7624337,0.5,May 25 2015
Fort Union National Monument,Fort Union NM,38.88365247,-77.04301404,0.5,Dec 26 2015
Fort Union Trading Post National Historic Site,Fort Union Trading Post NHS,,,,
Fort Vancouver National Historic Site,Fort Vancouver NHS,38.8637044,-76.98503074,0.5,Dec 28 2015
Fort Washington Park,Fort Washington Park,42.32554441,-71.13237982,0.5,Jun 10 2015
Fossil Butte National Monument,Fossil Butte NM,38.29403589,-77.46745112,0.5,Oct 9 2015
Franklin D. Roosevelt Memorial,Franklin Delano Roosevelt Memorial,39.77576746,-79.93143487,0.5,Jun 18 2016
Frederick Douglass National Historic Site,Fredence Douglass NHS,38.2233531,-80.99125512,0.5,Sep 6 2015
Frederick Law Olmsted National Historic Site,Frederick Law Olmsted NHS,40.81364462,-73.96314852,0.5,Jul 21 2018
Fredericksburg and Spotsylvania National Military Park,Fredericksburg and Spotsylvania NMP,38.6785556,-87.536717,0.5,Aug ll 2016
Freedom Riders National Monument,Freedom Riders NM,,,,
Friendship Hill National Historic Site,Friendship Hill NHS,38.18460237,-76.92007086,0.5,Oct 10 2015
Gates of the Arctic National Park,Gates of the Arctic NP,,,,
Gates of the Arctic National Preserve,Gates of the Arctic Npres,,,,
Gateway Arch National Park,Gateway Arch NP,,,,
Gateway National Recreation Area,Gateway NRA,,,,
Gauley River National Recreation Area,Gauley River NRA,36.98649976,-94.354816,0.5,Nov 26 2017
General Grant National Memorial,General Grant NMem,38.84432053,-77.04904918,0.5,Dec 26 2015
George Rogers Clark National Historical Park,George Rogers Clark NHP,39.80604603,-77.24176392,0.5,Mar 29 2016
George Washington Birthplace National Monument,George Washington Birthplace NM,37.84752486,-122.5306404,0.5,May 17 2015
George Washington Carver National Monument,George Washington Carver NM,40.69034515,-74.01721006,0.5,Jul 22 2018
George Washington Memorial Parkway,George Washington Mem. Pkwy,43.89544646,-110.7023483,0.5,May 25 2015
Gettysburg National Military Park,Gettysburg NMP,37.78896481,-105.630268,0.5,Oct 16 2018
Gila Cliff Dwellings National Monument,Gila Cliff Dwellings NM,,,,
Glacier Bay National Park,Glacier Bay NP,,,,
Glacier Bay National Preserve,Glacier Bay NPres,,,,
Glacier National Park,Glacier NP,,,,
Glen Canyon National Recreation Area,Glen Canyon NRA,,,,
Golden Gate National Recreation Area,Golden Gate NRA,35.88769423,-83.48432666,0.5,NAN
Golden Spike National Historical Park,Golden Spike National Historical Park,,,,
Governors Island National Monument,Governors Island NM,35.61929423,-83.5530199,0.5,Oct 8 2016
Grand Canyon National Park,Grand Canyon NP,,,,
Grand Portage National Monument,Grand Portage NM,,,,
Grand Teton National Park,Grand Teton NP,38.98353734,-76.89754223,0.5,Dec 28 2015
Grant-Kohrs Ranch National Historic Site,Grant-Kohrs Ranch NHS,,,,
Great Basin National Park,Great Basin NP,,,,
Great Egg Harbor Scenic and Recreational River,Great Egg Harbor Scenic and Recreational River,,,,
Great Sand Dunes National Park,Great Sand Dunes NP,31.95554418,-104.8781332,0.5,Dec 21 2017
Great Sand Dunes National Preserve,Great Sand Dunes Npres,,,,
Great Smoky Mountains National Park,Great Smoky Mountains NP,36.13356133,-79.84127446,0.5,Jun 6 2015
Greenbelt Park,Greenbelt Park,32.46127495,-80.66635861,0.5,May 31 2015
Guadalupe Mountains National Park,Guadalupe Mountains NP,40.82156606,-73.94725311,0.5,July 20 2018
Guilford Courthouse National Military Park,Guilford Courthouse NMP,39.41700208,-76.58736504,0.5,Mar 27 2016
Gulf Islands National Seashore,Gulf Islands NS,39.31855875,-77.75804543,0.5,Mar 30 2016
,Gullah Geechee NHA,41.66936048,-91.34617764,0.5,Oct 6 2018
Hagerman Fossil Beds National Monument,Hagerman Fossil Beds NM,,,,
Haleakala National Park,Haleakala NP,,,,
Hamilton Grange National Memorial,Hamilton Grange NMem,41.76810353,-73.93520661,0.5,Sep 19 2016
Hampton National Historic Site,Hampton NHS,39.37583947,-83.00641635,0.5,Oct 5 2018
Harpers Ferry National Historical Park,Harpers Ferry NHP,40.20652472,-75.76798633,0.5,Mar 26 2016
Harriet Tubman National Historical Park,Harriet Tubman NHP,,,,
Harriet Tubman Underground Railroad National Historical Park,Harriet Tubman Underground Railroad NHP,,,,
Harry S Truman National Historic Site,Harry S Truman NHS,,,,
Hawaii Volcanoes National Park,Hawaii Volcanoes NP,,,,
Herbert Hoover National Historic Site,Herbert Hoover NHS,32.97630379,-85.73349218,0.5,Jan 30 2016
Hohokam Pima National Monument,Hohokam Pima NM,,,,
Home of Franklin D. Roosevelt National Historic Site,Home of Franklin D. Roosevelt NHS,34.52964327,-93.06967602,0.5,Nov 29 2017
Homestead National Historical Park,Homestead NHP,,,,
Honouliuli National Historic Site,Honouliuli NHS,,,,
Hopewell Culture National Historical Park,Hopewell Culture NHP,41.08848622,-73.96822611,0.5,Sep 19 2016
Hopewell Furnace National Historic Site,Hopewell Fernace NHS,39.9500689,-75.1497751,0.5,Jul 16 2016
Horseshoe Bend National Military Park,Horseshoe Bend NMP,41.66512152,-81.35087872,0.5,Apr 14 2017
Hot Springs National Park,Hot Springs NP,29.81100398,-90.13370649,0.5,Dec 2 2017
Hovenweep National Monument,Hovenweep NM,,,,
Hubbell Trading Post National Historic Site,Hubbell Trading Post NHS,,,,
,Hudson River Valley NHA,32.03660726,-84.3926015,0.5,Jan 31 2016
Ice Age National Scenic Trail,Ice Age NST,,,,
Independence National Historical Park,Independence NHP,44.08299721,-110.6814414,0.5,May 24 2015
Indiana Dunes National Park,Indiana Dunes NP,,,,
Isle Royale National Park,Isle Royale NP,,,,
James A. Garfield National Historic Site,James A. GarField NHS,44.63497624,-120.2390721,0.5,Jul 15 2021
Jean Lafitte National Historical Park and Preserve,Jean Lafitte NHP and Pres,42.34762959,-71.12352486,0.5,Jun 10 2015
Jefferson Memorial,Jefferson Memorial,,,,
Jewel Cave National Monument,Jewel Cave NM,,,,
Jimmy Carter National Historical Park,Jimmy Carter NHP,37.99247502,-122.1310265,0.5,Jul 6 2019
John D. Rockefeller Jr. Memorial Parkway,John D. RockeFeller Jr Memorial Parkway,40.34994002,-78.7712865,0.5,Jun 19 2016
John Day Fossil Beds National Monument,John Day Fossil Beds NM,33.95565355,-115.9400861,0.5,May 10 2016
John F. Kennedy National Historic Site,John F. Kennedy NHS,32.4769085,-111.3030868,0.5,May 9 2016
John Muir National Historic Site,John Muir NHS,33.95773667,-84.59646838,0.5,Oct 4 2015
Johnstown Flood National Memorial,Johnstown Flood NMem,35.13909987,-81.39102911,0.5,Jun 18 2015
Joshua Tree National Park,Joshua Tree NP,47.59987796,-122.3317424,0.5,July 23 2021
,Juan Bautista de Anza NHT,38.88817132,-77.04767358,0.5,Dec 26 2015
Kalaupapa National Historical Park,Kalaupapa NHP,,,,
Kaloko-Honokohau National Historical Park,Kaloko-Honokohau NHP,,,,
Katahdin Woods and Waters National Monument,Katahdin Woods and Waters NM,,,,
Katmai National Park,Katmai NP,,,,
Katmai National Preserve,Katmai National Preserve,,,,
Kenai Fjords National Park,Kenai Fjords National Park,,,,
Kennesaw Mountain National Battlefield Park,Kennesaw Mountain NBP,48.35709953,-120.6846527,0.5,Jul 11 2021
Keweenaw National Historical Park,Keweenaw NHP,,,,
Kings Canyon National Park,Kings Canyon NP,,,,
Kings Mountain National Military Park,Kings Mountain NMP,35.64445963,-101.5862452,0.5,Dec 22 2017
Klondike Gold Rush National Historical Park,Klondike Gold Rush NHP,48.13593896,-118.2465262,0.5,July 25 2021
Knife River Indian Villages National Historic Site,Knife River Indian Villages NHS,,,,
Kobuk Valley National Park,Kobuk Valley NP,,,,
Korean War Veterans Memorial,Korean War Veterans Memorial,40.50919326,-121.4158473,0.5,Jul 4 2019
Lake Chelan National Recreation Area,Lake Chelan NRA,41.77566751,-121.5067521,0.5,Jul 3 2019
Lake Clark National Park,Lake Clark NP,,,,
Lake Clark National Preserve,Lake Clark NPres,,,,
Lake Mead National Recreation Area,Lake Mead NRA,,,,
Lake Meredith National Recreation Area,Lake Meredith NRA,38.87948723,-77.05111973,0.5,Dec 28 2015
Lake Roosevelt National Recreation Area,Lake Roosevelt NRA,46.13536601,-123.8805495,0.5,Jul 17 2021
Lassen Volcanic National Park,Lassen Volcanic NP,41.28085976,-95.92442836,0.5,Oct 9 2018
Lava Beds National Monument,Lava Beds NM,38.11364564,-86.99589503,0.5,Aug ll 2016
Lewis and Clark National Historical Park,Lewis and Clark NHP,45.57090421,-107.4276034,0.5,Now 19 2018
,Lewis and Clark NHT,34.38725873,-85.69729294,0.5,Oct 3 2015
Lincoln Boyhood National Memorial,Lincoln Boyhood NMem,34.73844651,-92.29758824,0.5,Nov 29 2017
Lincoln Home National Historic Site,Lincoln Home NHS,,,,
Lincoln Memorial,Lincoln Memorial,42.37719454,-71.12633732,0.5,Jun 11 2015
Little Bighorn Battlefield National Monument,Little Bighorn Battlefield NM,42.64504269,-71.31323569,0.5,Sep 27 2016
Little River Canyon National Preserve,Little River Canyon NPres,30.24286278,-98.60848806,0.5,Dec 7 2017
Little Rock Central High School National Historic Site,Little Rock Central High School NHS,37.54822825,-77.43715868,0.5,Dec 29 2015
Longfellow HouseñWashington's Headquarters National Historic Site,Longfellow House-Washington's Headquarters NHS,37.20465274,-86.11450754,0.5,Aug 12 2016
Lowell National Historical Park,Lowell NHP,38.81767645,-77.53525707,0.5,Oct 10 2015
Lyndon B. Johnson National Historical Park,Lyndon B. Johnson NHP,36.03062026,-84.2704045,0.5,Aug 9 2016
Lyndon Baines Johnson Memorial Grove on the Potomac,Lyndon Baines Johnson Memorial Grove on the Potomac,38.88966195,-77.05010791,0.5,Dec 26 2015
Maggie L. Walker National Historic Site,Maggie L Walker NHS,35.88129904,-106.3030724,0.5,–û—Åt 12 2018
Mammoth Cave National Park,Mammoth Cave NP,43.63161052,-72.5179175,0.5,Sep 22 2016
Manassas National Battlefield Park,Manassas NBP,33.75708919,-84.37321235,0.5,Nov 24 2017
Manhattan Project National Historical Park,Manhattan Project NHP,42.37076603,-73.70416244,0.5,Sep 20 2016
,Manhattan Project NHP,38.90885014,-77.0307092,0.5,Dec 26 2015
Manzanar National Historic Site,Manzanar NHS,,,,
Marsh-Billings-Rockefeller National Historical Park,March-Billings-RockeFeller NHP,42.45528705,-71.30210285,0.5,Sep 27 2016
Martin Luther King Jr. National Historical Park,Martin LutherKing Jr. NHP,43.84484622,-101.9011215,0.5,Nov 21 2018
"Martin Luther King, Jr. Memorial","Martin Luther King, Jr. Memorial",46.90398536,-121.7144439,0.5,Jul 20 2021
Martin Van Buren National Historic Site,Martin Van Buren NHS,42.86960911,-97.38457311,0.5,Oct 9 2018
Mary McLeod Bethune Council House National Historic Site,Mary McLeod Bethune Council House NHS,38.88682837,-77.04431422,0.5,Dec 28 2015
Medgar and Myrlie Evers Home National Monument,Medgar and Myrlie Evers Home NM,,,,
Mesa Verde National Park,Mesa Verde NP,,,,
Middle Delaware National Scenic River,Middle Delaware NSR,,,,
Mill Springs Battlefield National Monument,Mill Springs Battlefield NM,,,,
Minidoka National Historic Site,Minidoka NHS,,,,
Minute Man National Historical Park,Minute Man NHP,39.38415951,-77.39867074,0.5,Mar 28 2016
Minuteman Missile National Historic Site,Minuteman Missle NHS,34.45855194,-78.11037497,0.5,May 31 2015
Mississippi National River and Recreation Area,Mississippi NRRA,,,,
Missouri National Recreational River,Missouri NRR,40.79687866,-74.46615167,0.5,Sep 6 2016
Mojave National Preserve,Mojave NPres,,,,
Monocacy National Battlefield,Monocacy NB,43.88055569,-103.4537552,0.5,Nov 22 2018
Montezuma Castle National Monument,Montezuma Castle NM,,,,
Moores Creek National Battlefield,Moores Creek NB,37.8980364,-122.5816147,0.5,May 18 2015
Morristown National Historical Park,Morristown NHP,33.76745087,-89.01878355,0.5,Nov 25 2017
Mount Rainier National Park,Mount Rainier NP,31.55549857,-91.41245142,0.5,Dec 5 2017
Mount Rushmore National Memorial,Mount Rushmore NMem,34.33095024,-88.70999566,0.5,Nov 25 2017
Muir Woods National Monument,Muir Woods NM,38.88809151,-77.03673552,0.5,Dec 26 2015
Natchez National Historical Park,Natchez NHP,37.88820671,-81.05703229,0.5,Sep 6 2015
Natchez Trace National Scenic Trail,Natchez Trace NST,29.95906402,-90.06084942,0.5,Dec 2 2017
Natchez Trace Parkway,Natchez Trace Parkway,46.44790904,-116.822835,0.5,Jul 13 2021
National Capital Parks-East,National Capital Parks-East,,,,
National Mall and Memorial Parks,National Mall,42.86857898,-100.5530359,0.5,Oct 9 2018
National Park of American Samoa,National Park of American Samoa,,,,
Natural Bridges National Monument,Natural Bridges NM,,,,
Navajo National Monument,Navajo NM,,,,
New Bedford Whaling National Historical Park,New Bedford Whaling NHP,,,,
New England National Scenic Trail,New England NST,,,,
New Orleans Jazz National Historical Park,New Orleans Jazz NHP,34.14726674,-82.02310858,0.5,Aug 23 2015
New Philadelphia National Historic Site,New Philadelphia NHS,,,,
New River Gorge National Park and Preserve,New River Gorge NP and Pres,48.77446823,-121.2988823,0.5,Jul 11 2021
Nez Perce National Historical Park,Nez Perce NHP,41.3430263,-79.21364707,0.5,Sep 20 2016
Nicodemus National Historic Site,Nicodemus NHS,,,,
Ninety Six National Historic Site,Ninety Six NHS,32.83886825,-83.60201404,0.5,Jan. 31 2016
Niobrara National Scenic River,Niobrara NSR,36.1227604,-84.79073235,0.5,Aug 9 2016
Noatak National Preserve,Noatak Npres,,,,
North Cascades National Park,North Cascades NP,35.47389482,-97.51710673,0.5,Dec 22 2017
North Country National Scenic Trail,North Country NST,38.89473254,-77.0273467,0.5,Dec 26 2015
