submap,latitude,longitude,label_latitude,label_longitude,date,name
19,35.828680,48.162253,35.828680,48.162253,20210920,Katale Khor Cave
23,35.823420,51.425686,36.051554,51.442130,,Darband
23,35.810829,51.472271,36.048991,51.677562,,Niavaran Palace Complex
23,35.805283,51.430559,36.453368,51.502341,,Tajrish Traditional Bazaar
23,35.805186,51.429957,36.057197,51.484443,,Imamzadeh Saleh
23,35.802622,51.421947,36.051651,51.442731,,Ferdows Garden
23,35.790182,51.678413,35.790182,51.678413,,Latyan Dam
30,35.787449,50.886428,35.787449,50.886428,20211001,Shams Palace
23,35.754289,51.420101,35.596698,51.874268,,Tabiat Bridge
23,35.744519,51.375211,35.606468,51.675716,,Milad Tower
23,35.717500,51.530831,35.717500,51.530831,20210924,Sorkheh Hesar National Park
23,35.699642,51.337975,35.261079,51.691814,,Azadi Tower
23,35.694118,51.419450,35.538889,51.913417,,Treasury of National Jewels
23,35.688950,51.432919,35.531881,51.676092,,Motahhari Mosque
23,35.686710,51.414360,35.487168,51.675065,,National Museum of Iran
23,35.679702,51.420477,35.197051,51.837032,,Golestan Palace
23,35.605994,51.436199,35.265196,51.931976,,Rey
20,35.575643,53.395533,35.575643,53.395533,20210921,Semnan
12,35.548984,46.129718,35.548984,46.129718,20210913,Zrebar Lake
12,35.318889,46.994784,35.523663,46.227413,,Dar al-ehsan Mosque
12,35.315019,46.984015,35.476565,46.252284,,Khosro Abad Mansion
12,35.306859,46.969913,35.452985,46.241515,,Abidar Regional Park
13,35.300118,48.299967,35.300118,48.299967,20210914,Ali-Sadr Cave
12,35.251406,46.261376,35.251406,46.261376,,Uraman Takht
12,35.065162,46.604396,35.065162,46.604396,20210913,Palangan Tourist Village
05,35.043178,46.354974,35.043178,46.354974,20210906,Paveh
13,34.808176,48.509615,34.900904,48.180790,,Tomb of Baba Taher
13,34.803294,48.510301,34.890359,48.181642,20210914,Alaviyan Dome
13,34.798474,48.514494,34.955997,48.254000,20210914,Hamedan
13,34.791463,48.512893,34.951115,48.254686,20210914,Mausoleum of Avicenna
13,34.765962,48.401935,34.939284,48.013835,20210914,Alvand Peak
13,34.762938,48.436405,34.677269,48.146320,20210914,Hamadan Ganjnameh Waterfall
13,34.762248,48.437257,34.552106,48.015436,20210914,Ancient inscriptions of Ganjnameh
25,34.641926,50.878848,34.681345,51.621348,,Hazrat Fatima Masumeh Holy Shrine
25,34.641001,50.874206,34.634710,51.413142,20210926,Qom
25,34.636314,50.879428,34.626459,51.621928,,Imam Khomeini historical House
25,34.624855,50.914085,34.325650,51.616706,,Mahallati Park
20,34.609747,52.446397,34.609747,52.446397,20210921,Kavir National Park
25,34.582783,50.913768,34.050627,51.412826,,Jamkaran Masjid
13,34.552891,48.441783,34.552891,48.441783,20210914,Tuyserkan
05,34.517809,45.578438,34.517809,45.578438,20210906,Qasreshirin
05,34.390467,47.435885,34.390467,47.435885,20210906,Bistoon Inscription
05,34.387429,47.132369,34.141061,46.389868,20210906,Taq-e Bostan
05,34.387263,47.131064,34.140894,46.388564,20210906,New tree of Shirin & Farhad
09,34.330534,58.683632,34.330534,58.683632,20210910,Qanats of Ghasabeh
05,34.313443,47.070205,33.909399,46.327705,20210906,Takyeh Moaven-ol-Molk
13,34.303141,48.813969,34.303141,48.813969,20210914,Malayer
00,34.195309,49.815017,34.195309,49.815017,20210901,Meighan Wetland
00,34.121386,50.225066,34.121386,50.225066,20210901,Haftad Qolleh Protected Area
00,34.087469,49.702121,33.779702,50.405815,,Arak
00,34.085199,49.687658,33.841101,50.176834,,Chahar Fasl Museum
10,34.080785,51.432313,34.080785,51.432313,,Nushabad
10,34.056144,54.792627,34.056144,54.792627,20210911,Mesr Desert
29,34.018074,58.171947,34.018074,58.171947,20210930,Ferdows
10,33.945484,51.374039,33.945484,51.374039,,Fin Garden
15,33.895859,48.763362,33.895859,48.763362,20210916,Borujerd Jame Mosque
29,33.734095,59.180048,33.734095,59.180048,20210930,Qaen
16,33.634739,46.415012,33.634739,46.415012,,Ilam
10,33.571820,51.580288,33.571820,51.580288,,Abyaneh
10,33.493616,51.904386,33.493616,51.904386,,Jameh Mosque of Natanz
15,33.483698,48.353368,33.513263,47.610868,20210916,Falak-ol-Aflak Castle
15,33.467955,48.352839,33.467955,47.853781,20210916,Brick minaret
10,33.461603,51.166637,33.461603,51.166637,,Meymeh
15,33.402115,49.689176,33.402115,49.689176,20210916,Aligudarz
15,33.329300,48.876929,33.329300,48.876929,20210916,Bisheh Waterfall
15,33.231065,48.575963,33.231065,48.575963,20210916,Nozhian Waterfall
16,33.120747,46.163953,33.120747,46.163953,,Mehran
16,33.025221,47.461304,33.025221,47.461304,20210917,Kabir Kuh
29,32.883916,59.205021,33.111866,59.261224,,Birjand Fort
10,32.879021,51.148173,32.879021,51.148173,20210911,Ghomishloo National Park
29,32.853061,59.228308,32.660249,59.498424,20210930,Akbariyeh Historical Museum Garden
16,32.689379,47.269075,32.689379,47.269075,20210917,Dehloran
10,32.669617,51.685103,33.051512,51.659497,,Jame' Mosque of Isfahan
10,32.657380,51.671737,33.070872,51.664378,20210911,Chehel Sotoon Palace
10,32.657323,51.671669,33.051510,51.642142,,Chehel Sotoon Palace
10,32.657320,51.678659,32.915986,51.672931,,Sheikh Lotfollah Mosque
10,32.657303,51.677510,33.029609,51.422454,,Shah Square
10,32.656973,51.676550,33.248587,51.421895,,Aali Qapu Palace
10,32.655129,51.678069,32.426099,51.147208,,Jame Abbasi Mosque
10,32.653301,51.670215,32.487506,51.399266,,Hasht Behesht Palace
10,32.644836,51.667761,33.061424,51.659565,,Si-o-Se Pol Bridge
10,32.636813,51.683288,32.506870,51.253909,,Khajoo Bridge
10,32.635327,51.654881,32.488992,51.184230,,Vank Cathedral
10,32.573920,51.646266,33.008071,51.658043,,Mount Soffeh
10,32.529837,51.809755,32.529837,51.809755,,Zayandeh Rud
29,32.504384,57.500248,32.504384,57.500248,20210930,Naybandan Wildlife Sanctuary
14,32.455164,50.124658,32.455164,50.124658,,Kouhrang Tunnel 1
06,32.383876,48.399345,32.383876,48.399345,,Dezful
21,32.366544,54.399962,32.366544,54.399962,,Chak Chak
14,32.326996,50.864706,32.326996,50.864706,,Shahrekord
10,32.320947,51.896660,32.320947,51.896660,,Kolah Ghazi National Park
10,32.258877,52.719012,32.258877,52.719012,20210911,Varzaneh Desert
21,32.248472,54.007813,32.248472,54.007813,,Meybod
06,32.190027,48.243454,32.190027,48.243454,,Tomb of Daniel Nabi
14,32.156463,51.116709,32.156463,51.116709,,Tang-e-sayad National Park
06,32.044031,48.858096,32.044031,48.858096,20210907,Shushtar Historical Hydraulic System
14,31.968498,51.293758,31.968498,51.293758,,Borujen
06,31.958557,49.286051,31.958557,49.286051,,Masjedsoleyman
14,31.919399,50.902997,31.919399,50.902997,20210915,Choghakhor Lagoon
21,31.907291,54.368916,32.148188,54.608947,,Subterranean Persian Qanat Of Zarch
21,31.905002,54.370494,32.147630,54.624005,,Alexander's Prison
21,31.901820,54.353332,32.151370,54.382666,,Dowlat Abad Garden
21,31.901708,54.370494,32.127531,54.385494,,Old City of Yazd
21,31.901262,54.368390,32.139997,54.625523,,Yazd Grand Mosque
21,31.893629,54.369908,32.153659,54.624531,,Amir Chakhmagh Complex
21,31.881163,54.373322,32.148077,54.382666,,Zoroastrian Fire Temple of Yazd
21,31.822429,54.354799,31.674609,54.610414,,Towers of Silence
21,31.577727,54.445174,31.311649,54.213903,,Mehriz
21,31.559368,54.441165,31.293290,54.453337,,Pahlavanpur Garden
14,31.511079,50.829085,31.511079,50.829085,,Lordegan
06,31.323771,48.676049,30.914290,48.792331,,White Bridge
06,31.318334,48.670610,31.432173,48.420434,,Ahvaz
17,31.147031,50.721957,31.147031,50.721957,20210918,Zagros Mountains
11,31.029292,61.490204,31.029292,61.490204,,Zabol
10,30.952017,51.437519,30.952017,51.437519,20210911,Kuh-e Dinar
11,30.830766,61.167291,30.830766,61.167291,,Hamun Lake
17,30.792422,50.562804,30.792422,50.562804,20210918,Dehdasht
17,30.676020,51.627645,30.634032,51.582666,20210918,Yasuj waterfall
17,30.663596,51.594838,30.981517,51.372030,20210918,Yasuj
11,30.645213,61.400823,30.645213,61.400823,,Shahr-e Sukhteh
07,30.491129,51.893609,30.491129,51.893609,20210908,Margoon Waterfall
08,30.455033,58.938083,30.455033,58.938083,,Lut Desert
08,30.413696,55.980473,30.413696,55.980473,20210909,Rafsanjan
08,30.389162,58.272417,30.389162,58.272417,,Kalut Shahdad Desert
06,30.367940,48.273695,30.367940,48.273695,20210907,Abadan
17,30.365871,50.793828,30.365871,50.793828,20210918,Gachsaran
08,30.292799,57.117050,30.164687,57.372665,,Jabaliyeh Dome
08,30.289559,57.078335,30.614765,57.626081,,Ganjali Khan Bathhouse
08,30.283521,57.083281,29.751365,57.472789,,Kerman
08,30.225241,55.372661,30.225241,55.372661,20210909,Meymand
07,30.199869,53.177868,30.387109,52.703154,20210908,Pasargad
07,30.193849,53.167116,30.055882,52.692403,20210908,Tomb of Cyrus the Great
07,30.084584,51.535364,30.084584,51.535364,20210908,Gachgaran
18,30.055368,50.164398,30.055368,50.164398,20210919,Bandar-e Deylam
08,30.026976,57.282317,30.026976,57.282317,20210909,Shahzadeh Mahan Historical Garden
07,29.988660,52.874053,29.939386,52.886225,20210908,Naqsh-e Rostam
07,29.935610,52.888892,30.083431,52.901064,20210908,Persepolis
07,29.877457,52.806417,29.877457,52.806417,,Marvdasht
07,29.834479,52.329381,29.834479,52.329381,20210908,Ghalat
07,29.712332,52.791009,29.712332,52.791009,,Bamou National Park
07,29.636951,52.526229,29.438519,52.071584,,Eram Garden
07,29.625759,52.558470,29.081821,52.534069,,Tomb of Hafez
07,29.622507,52.583273,29.518694,53.000943,,Mausoleum of Saadi
07,29.617611,51.645381,29.617611,51.645381,20210908,Kazerun
07,29.614288,52.545388,29.484541,52.327658,,Vakil Mosque
07,29.613977,52.546241,29.057770,52.531085,,Vakil Bazaar
07,29.609635,52.543257,29.046997,52.292957,,Holy Shrine of Shahecheragh
07,29.608716,52.548572,29.091988,52.533216,20210908,Nasir al-Mulk Mosque
07,29.567214,53.865941,29.567214,53.865941,20210908,Bakhtegan National Park
11,29.488151,60.863901,29.488151,60.863901,20210912,Zahedan
08,29.443418,55.684814,29.443418,55.684814,20210909,Sirjan
18,29.270186,51.215932,29.270186,51.215932,20210919,Borazjan
08,29.105408,58.354261,29.105408,58.354261,,Bam Citadel
18,28.914058,50.827988,28.914058,50.827988,20210919,Bushehr
08,28.801628,56.377993,28.801628,56.377993,,Khabr national park
18,28.276014,50.956724,28.276014,50.956724,20210919,Persian Gulf
18,27.873058,51.447502,27.873058,51.447502,,Nakhiloo
22,27.420892,57.218316,27.420892,57.218316,,Rudan
11,27.201170,60.683715,27.201170,60.683715,20210912,Iranshahr
22,27.195156,56.289447,27.195156,56.289447,,Bandar Abbas
22,27.134555,57.064538,27.134555,57.064538,,Minab
22,27.067081,56.481732,27.354650,56.922724,,Saffron Valley
22,27.064037,56.436850,27.648510,56.250462,,Salt Goddess
22,27.059240,56.460781,27.635611,57.179351,,Hormuz Island
22,27.059008,56.460183,27.354882,56.923322,,Hormuz Island
22,27.049346,56.438634,26.901525,57.181134,,Rainbow Valley
22,27.033859,56.463750,26.935312,56.962807,,Red Beach
22,26.869758,56.122568,26.534697,55.623510,,Stars Valley
22,26.834447,56.097868,26.233309,55.598810,,Qeshm Geopark
22,26.817954,55.788302,26.817954,55.788302,,Hara Mangrove Forest
22,26.739227,55.696420,26.739227,55.696420,,Tandis Valley
22,26.682714,55.537162,26.682714,55.537162,,Chahkooh Canyon
22,26.531879,53.986413,26.531879,53.986413,,Kish Island
11,25.472306,59.456791,25.472306,59.456791,20210912,Darak Beach
11,25.297203,60.620798,25.297203,60.620798,,Chabahar port - Fishing Harbour
11,25.268777,60.958433,25.484902,61.157177,,Martian Mountains
11,25.249746,60.999342,25.043135,61.283392,20210912,Makran Coast
