submap,latitude,longitude,label_latitude,label_longitude,date,name
MA,42.524513,-70.8942460,43.707212,-70.2117300,20160926,Essex NHA
MA,42.521990,-70.8869770,43.229399,-69.9536080,20160929,Salem Maritime NHS
MA,42.468433,-71.0083440,42.468433,-71.0083440,20160926,Saugus Iron Works NHS
MA,42.454790,-71.3012310,42.454790,-71.3012310,20160927,Minute Man NHP
NE,42.425466,-103.734226,42.425466,-103.734226,20181010,Agate Fossil Beds NM
MA,42.377495,-71.1263210,43.299334,-73.6247360,20150611,Longfellow House NHS
MA,42.373406,-71.0565120,44.236500,-70.3315400,20150610,Boston NHP
NY,42.370143,-73.7041610,42.370143,-73.7041610,20160920,Martin Van Buren NHS
NY,42.360948,-71.0650720,42.972961,-66.3740650,20150608,Boston African American NHS
MA,42.347427,-71.1233040,42.904175,-72.6856650,20150610,John F Kennedy NHS
WY,42.338178,-110.674031,42.338178,-110.674031,20150525,California NHT
MA,42.325812,-71.1322360,42.493907,-73.2676490,20150610,Frederick Law Olmsted NHS
MA,42.312831,-70.9493000,42.589195,-65.7302580,20150613,Boston Harbor Islands NRA
MA,42.256545,-71.0118230,41.977634,-67.7368380,20150612,Adams NHP
WY,42.204269,-104.556092,42.204269,-104.556092,20181011,Fort Laramie NHS
MA,42.107682,-72.5814680,42.107682,-72.5814680,20160929,Springfield Armory NHS
OR,42.098837,-123.406829,42.098837,-123.406829,20190701,Oregon Caves NM
MA,42.095249,-71.2695680,42.095249,-71.2695680,20151010,Washington-Rochambeau Rev. Rt. NHT
ID,42.073067,-113.703820,42.073067,-113.703820,,City of Rocks NPres
WY,42.062206,-104.184106,42.062206,-104.184106,20181011,Pony Express NHT
MI,41.916020,-83.3798820,41.916020,-83.3798820,,River Raisin NBP
CA,41.887620,-121.377165,41.887620,-121.377165,20190703,Tule Lake NM
RI,41.878866,-71.3831730,42.157777,-72.7899740,20160928,Blackstone River Valley NHP
WY,41.857039,-110.762421,41.857039,-110.762421,20150525,Fossil Butte NM
NE,41.834633,-103.707012,41.834633,-103.707012,20181011,Scotts Bluff NM
RI,41.831667,-71.4109370,41.634130,-66.2340410,20160928,Roger Williams NMem
NY,41.797590,-73.9419960,42.825746,-78.2063970,20160919,Vanderbilt Mansion NHS
CA,41.775503,-121.506772,41.775503,-121.506772,20190703,Lava Beds NM
NY,41.768360,-73.9353020,42.339081,-78.6712940,20160919,Home of Franklin D. Roosevelt NHS
NY,41.762932,-73.8995460,42.015281,-78.3919340,20160919,Eleanor Roosevelt NHS
MA,41.727277,-69.9302480,41.727277,-69.9302480,20160926,Cape Cod NS
IL,41.694052,-87.6076500,41.694052,-87.6076500,,Pullman NHP
IA,41.670131,-91.3463330,41.670131,-91.3463330,20181008,Herbert Hoover NHS
OH,41.665393,-81.3508850,41.665393,-81.3508850,20170414,James A Garfield NHS
IN,41.658284,-87.0517320,41.658284,-87.0517320,,Indiana Dunes NP
MI,41.654503,-82.8113260,41.654503,-82.8113260,,Perry's Victory and International Peace Mem
MA,41.635952,-70.9239310,41.635952,-70.9239310,20160928,New Bedford Whaling NHP
PA,41.626995,-75.0500430,41.626995,-75.0500430,20160918,Upper Delaware SRR
UT,41.617352,-112.550721,41.617352,-112.550721,,Golden Spike NHP
CA,41.533803,-124.043823,41.533803,-124.043823,20190630,Redwood NP
OH,41.474714,-81.4916520,41.474714,-81.4916520,20170414,David Berger NM
PA,41.408210,-75.6720080,41.408210,-75.6720080,20160918,Steamtown NHS
OH,41.322030,-81.5728490,41.322030,-81.5728490,20160612,Cuyahoga Valley NP
MA,41.272374,-72.6700250,41.272374,-72.6700250,20160929,New England NST
NE,41.265478,-95.9245760,41.265478,-95.9245760,20181009,Lewis and Clark NHT
CT,41.257774,-73.4559970,41.257774,-73.4559970,,Weir Farm NHP
PA,41.130221,-74.9427020,41.435439,-78.3761200,20160918,Middle Delaware NSR
NJ,41.104794,-74.9443900,41.121255,-78.5457090,20160918,Delaware Water Gap NRA
NY,41.088507,-73.9682480,41.088507,-73.9682480,20160920,Hudson River Valley NHA
NJ,40.915700,-74.1796520,40.915700,-74.1796520,20160917,Paterson Great Falls NHP
NY,40.894387,-73.8262710,40.894387,-73.8262710,20180720,Saint Paul's Church NHS
NY,40.885832,-73.5009550,40.885832,-73.5009550,,Sagamore Hill NHS
NY,40.822101,-73.9472560,41.538165,-72.3877200,20180720,Hamilton Grange NMem
NY,40.813863,-73.9632970,41.294559,-72.4040980,20180721,General Grant NMem
OH,40.798255,-81.3751840,40.798255,-81.3751840,20170414,First Ladies NHS
NJ,40.797111,-74.4659630,40.797111,-74.4659630,20160917,Morristown NHP
NJ,40.784456,-74.2343740,40.784456,-74.2343740,20160917,Thomas Edison NHP
NY,40.739021,-73.9890660,40.977516,-72.3909810,20180722,Theodore Roosevelt Birthplace NHS
NY,40.734871,-74.0021830,40.951075,-72.3285560,20180722,Stonewall NM
NY,40.715133,-74.0045030,40.682210,-72.4739420,20180722,African Burial Ground NM
NY,40.707581,-74.0102040,40.444198,-69.3509980,20180722,Federal Hall NMem
NY,40.704154,-74.0166740,40.048415,-68.5677860,20180722,Castle Clinton NM
NY,40.690406,-74.0174530,39.785028,-67.3325050,20180722,Governors Island NM
NY,40.689717,-74.0446230,39.367769,-68.7101000,20180722,Statue of Liberty NM
NY,40.644410,-73.1640010,40.644410,-73.1640010,,Fire Island NS
WA,40.613784,-122.600993,40.613784,-122.600993,20190705,Whiskeytown-Shasta-Trinity NRA
CA,40.565135,-121.420760,40.565135,-121.420760,20190704,Lassen Volcanic NP
CO,40.513265,-108.948790,40.513265,-108.948790,,Dinosaur NM
PA,40.460045,-78.5496080,40.460045,-78.5496080,20160619,Allegheny Portage Railroad NHS
UT,40.444547,-111.705329,40.444547,-111.705329,20150526,Timpanagos Cave NM
NY,40.440206,-73.9884900,40.440206,-73.9884900,20180722,Gateway NRA
CO,40.408694,-105.690869,40.408694,-105.690869,20181011,Rocky Mountain NP
PA,40.350457,-78.7716060,40.350457,-78.7716060,20160619,Johnstown Flood NMem
NE,40.286973,-96.8327360,40.286973,-96.8327360,,Homestead NHP
NJ,40.221708,-74.7693210,40.221708,-74.7693210,20160917,Crossroads of the American Revolution NHA
PA,40.100388,-75.4460660,40.100388,-75.4460660,20160326,Valley Forge NHP
PA,40.059493,-78.8948600,40.059493,-78.8948600,20160619,Flight 93 NMem
PA,39.962056,-75.1499210,40.608872,-77.0180040,20160716,Edgar Allen Poe NHS
PA,39.959251,-75.1724770,40.464634,-81.5412330,20160716,Benjamin Franklin NMem
PA,39.950416,-75.1498200,39.649289,-76.2528250,20160716,Independence NHP
PA,39.950069,-75.1497750,39.613561,-76.3203970,20160326,Hopewell Fernace NHS
PA,39.943918,-75.1474580,39.850185,-72.4240300,20160716,Thaddeus Kosciuszko NMem
PA,39.816216,-79.5894550,39.816216,-79.5894550,20160618,Fort Necessity NB
PA,39.806178,-77.2421590,39.966530,-78.5035030,20160529,Gettysburg NMP
IL,39.804694,-89.6417860,40.075405,-88.4932430,,Springfield 1908 Race Riot NM
IL,39.797366,-89.6448990,39.612626,-87.7320100,,Lincoln Home NHS
PA,39.795577,-77.2635230,39.123171,-81.5464770,20160529,Eisenhower NHS
PA,39.776482,-79.9315930,39.776482,-79.9315930,20160618,Friendship Hill NHS
OH,39.755980,-84.2117560,39.755980,-84.2117560,20181005,Dayton Aviation Heritage NHP
OH,39.708255,-83.8906380,39.708255,-83.8906380,20181006,Charles Young Buffalo Soldiers NM
IL,39.698108,-90.9617190,39.698108,-90.9617190,,New Philadelphia NHS
DE,39.660402,-75.5635810,39.660402,-75.5635810,20160717,First State NHP
MD,39.640590,-77.4413360,39.640590,-77.4413360,20160528,Catoctin Mountain Park
MD,39.500930,-77.8449180,39.500930,-77.8449180,20160530,Chesapeake and Ohio Canal NHP
MD,39.467669,-77.7363860,39.467669,-77.7363860,20160530,Antietam NB
MD,39.416976,-76.5876730,39.416976,-76.5876730,20160327,Hampton NHS
KS,39.393444,-99.6146840,39.393444,-99.6146840,,Nicodemus NHS
MD,39.378127,-77.3970660,39.378127,-77.3970660,20160528,Monocacy NB
OH,39.376188,-83.0064840,39.376188,-83.0064840,20181005,Hopewell Culture NHP
WV,39.318178,-77.7581160,39.318178,-77.7581160,20160530,Harpers Ferry NHP
NJ,39.307596,-74.6503260,39.307596,-74.6503260,20160717,Great Egg Harbor SRR
MD,39.266286,-76.5785310,38.937058,-74.8003800,20151010,Star Spangled Banner NST
MD,39.264579,-76.5805980,38.441509,-74.6448890,20160327,Fort McHenry NM
OH,39.119782,-84.5083020,39.119782,-84.5083020,20181006,William Howard Taft NHS
MO,39.093936,-94.4235410,39.093936,-94.4235410,,Harry S Truman NHS
VA,39.052222,-77.3341980,39.052222,-77.3341980,20151010,Potomac Heritage NST
CO,39.050930,-108.692195,39.050930,-108.692195,,Colorado NM
KS,39.039422,-95.6763290,39.039422,-95.6763290,,Brown v Board of Education NHP
VA,39.024403,-78.3052900,38.824354,-81.4950730,20160530,Shenandoah Battlefields NHP
VA,39.011516,-78.3040920,38.204907,-81.2526720,20160530,Cedar Creek and Belle Grove NHP
DC,38.984067,-76.8972880,31.522010,-63.9186400,20151228,Greenbelt Park
DC,38.967874,-77.0452070,31.036220,-68.3562100,20160326,Rock Creek Park
MD,38.967632,-77.1409490,38.967632,-77.1409490,20151228,Clara Barton NHS
NV,38.946684,-114.256572,38.946684,-114.256572,,Great Basin NP
VA,38.939170,-77.2660710,38.939170,-77.2660710,20151229,Wolf Trap Performing Arts Park
VA,38.918196,-78.0496200,38.918196,-78.0496200,20160530,Appalachian NST
